x,log2(x)
-10.0,nan
-9.798,nan
-9.596,nan
-9.394,nan
-9.192,nan
-8.99,nan
-8.788,nan
-8.586,nan
-8.384,nan
-8.182,nan
-7.98,nan
-7.778,nan
-7.576,nan
-7.374,nan
-7.172,nan
-6.97,nan
-6.768,nan
-6.566,nan
-6.364,nan
-6.162,nan
-5.96,nan
-5.758,nan
-5.556,nan
-5.354,nan
-5.152,nan
-4.949,nan
-4.747,nan
-4.545,nan
-4.343,nan
-4.141,nan
-3.939,nan
-3.737,nan
-3.535,nan
-3.333,nan
-3.131,nan
-2.929,nan
-2.727,nan
-2.525,nan
-2.323,nan
-2.121,nan
-1.919,nan
-1.717,nan
-1.515,nan
-1.313,nan
-1.111,nan
-0.909,nan
-0.707,nan
-0.505,nan
-0.303,nan
-0.101,nan
0.101,-3.3075728019102923
0.303,-1.7226103011891363
0.505,-0.98564470702293
0.707,-0.5002178798526883
0.909,-0.1376478004679799
1.111,0.15185881672700494
1.313,0.3928669162307998
1.515,0.5993177936982261
1.717,0.7798900393400472
1.919,0.9403547115332932
2.121,1.084744620868468
2.323,1.2159891541467205
2.525,1.3362833878644322
2.727,1.447314700253176
2.929,1.5504081932172797
3.131,1.6466235084765828
3.333,1.7368213174481613
3.535,1.8217102150346742
3.737,1.9018805637186575
3.939,1.9778294169519561
4.141,2.0499792027077914
4.343,2.1186919527918056
4.545,2.1842802944193824
4.747,2.247016049767345
4.949,2.307137042204916
5.152,2.36513259345253
5.354,2.420617138978691
5.556,2.4740465993193057
5.758,2.5255677889013475
5.96,2.575312330687437
6.162,2.6233986823772644
6.364,2.6699338356689606
6.566,2.7150147499108934
6.768,2.7587295684578628
6.97,2.8011586560936985
7.172,2.8423754882062875
7.374,2.882447416431731
7.576,2.921436330806298
7.778,2.959399234772121
7.98,2.996388746447621
8.182,3.032453537225959
8.384,3.067638716875363
8.586,3.101986172785737
8.788,3.1355348697611896
8.99,3.168321115739723
9.192,3.200378797984026
9.394,3.2317395935957007
9.596,3.2624331576313477
9.798,3.292487291620764
10.0,3.321928094887362
